X,date,count,event,semester,type,tag75,tag69,tag66,substitute_time,datetime,posix,weekday,year,semester_week,pred
856,2015-11-15,1384,No Event,Fall,Dinner, new roasted in butter; potatoes parsley beets;, new roasted in parsley butter; beets; potatoes, roasted of new butter; potatoes roast,18:00:00,2015-11-15 18:00:00,2015-11-15 18:00:00,Sunday,2015,11,1215.1108363380486
857,2015-11-16,895,No Event,Fall,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2015-11-16 8:00:00,2015-11-16 08:00:00,Monday,2015,11,910.6124491701494
858,2015-11-16,765,No Event,Fall,Lunch, gyro; olives; cheese; feta tzatziki kalamata lettuce; iceberg pita bread;, gyro; iceberg olives; feta tzatziki cheese; lettuce; bread; kalamata pita, gyro; iceberg olives; feta tzatziki cheese; lettuce; bread; kalamata pita,13:00:00,2015-11-16 13:00:00,2015-11-16 13:00:00,Monday,2015,11,826.9057657821985
859,2015-11-16,1294,No Event,Fall,Dinner, bbq chicken; pork corn spare smoky ribs; mountain, bbq pork chicken; spare corn and, bbq pork chicken; spare corn and,18:00:00,2015-11-16 18:00:00,2015-11-16 18:00:00,Monday,2015,11,1441.2247023577943
860,2015-11-17,961,No Event,Fall,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2015-11-17 8:00:00,2015-11-17 08:00:00,Tuesday,2015,11,896.0607479467321
861,2015-11-17,961,No Event,Fall,Lunch, arugula and salad sandwich; fontina; with artichoke grilled cavatappi hummus chicken pasta, and arugula hummus cavatappi with pasta grilled chicken fontina;, and arugula hummus cavatappi with pasta grilled chicken fontina;,13:00:00,2015-11-17 13:00:00,2015-11-17 13:00:00,Tuesday,2015,11,845.1694349545479
862,2015-11-17,1379,No Event,Fall,Dinner, rice; chicken vegetable curry; spring duck and green roll; jasmine vegetables; scallion emerald, rice; emerald vegetables; scallion roll; and vegetable curry; jasmine duck spring green chicken, rice; green vegetable roll; duck sauce,18:00:00,2015-11-17 18:00:00,2015-11-17 18:00:00,Tuesday,2015,11,1334.8862110171326
863,2015-11-18,902,No Event,Fall,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2015-11-18 8:00:00,2015-11-18 08:00:00,Wednesday,2015,11,936.4133788330037
864,2015-11-18,881,No Event,Fall,Lunch, torta; chicken mole cuban corn blue tortilla, torta; chicken mole cuban corn tortilla blue, torta; chicken mole cuban corn tortilla blue,13:00:00,2015-11-18 13:00:00,2015-11-18 13:00:00,Wednesday,2015,11,839.8641924338559
865,2015-11-18,1300,No Event,Fall,Dinner, lasagna zucchini red al and with eggplant, lasagna al zucchini and chicken forno; marsala;, lasagna al zucchini and chicken forno;,18:00:00,2015-11-18 18:00:00,2015-11-18 18:00:00,Wednesday,2015,11,1307.3009721659496
866,2015-11-19,801,No Event,Fall,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2015-11-19 8:00:00,2015-11-19 08:00:00,Thursday,2015,12,800.278792261845
867,2015-11-19,736,No Event,Fall,Lunch, wrap; chicken and cape cod kettle, wrap; chicken and cod cape kettle, wrap; chicken and chips cod cape kettle,13:00:00,2015-11-19 13:00:00,2015-11-19 13:00:00,Thursday,2015,12,868.3938746331398
868,2015-11-19,522,No Event,Fall,Dinner, steamed rice bison chili; turkey carrots;, steamed bison rice chili; turkey carrots;, steamed rice bison turkey chili; carrots;,18:00:00,2015-11-19 18:00:00,2015-11-19 18:00:00,Thursday,2015,12,1036.0040363181379
869,2015-11-20,122,No Event,Fall,Breakfast, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,8:00:00,2015-11-20 8:00:00,2015-11-20 08:00:00,Friday,2015,12,722.543454665733
870,2015-11-20,297,No Event,Fall,Lunch, fried green catfish sweet potato hoagie; tomato tortilla sandwich;, fried tomato sweet potato green sandwich; catfish hoagie; tortilla, fried tomato green sandwich; hoagie; catfish tortilla sweet potato,13:00:00,2015-11-20 13:00:00,2015-11-20 13:00:00,Friday,2015,12,775.4182840281424
871,2015-11-20,237,No Event,Fall,Dinner, chimichurri sauce; steak; grilled flank verde valencia; potatoes; paella mediterranean rojo, sauce; chimichurri flank verde steak; rojo grilled, sauce; chimichurri flank verde steak; rojo grilled,18:00:00,2015-11-20 18:00:00,2015-11-20 18:00:00,Friday,2015,12,865.1505012922407
872,2015-11-21,218,Thanksgiving Vacation,Fall,Lunch, free cage egg; scrambled hard boiled bacon;, cage free egg; scrambled bacon; hard boiled, free cage egg; scrambled bacon; boiled hard,13:00:00,2015-11-21 13:00:00,2015-11-21 13:00:00,Saturday,2015,12,217.28600284454785
873,2015-11-21,183,Thanksgiving Vacation,Fall,Dinner, bar noodle, bar noodle, bar noodle,18:00:00,2015-11-21 18:00:00,2015-11-21 18:00:00,Saturday,2015,12,-75.95053866877652
874,2015-11-22,241,Thanksgiving Vacation,Fall,Lunch, southwestern cole sweet water potato roll; chicken;, pulled chicken; sweet potato pork; roll; water, pulled potato sweet chicken; water roll;,13:00:00,2015-11-22 13:00:00,2015-11-22 13:00:00,Sunday,2015,12,232.41527887339413
875,2015-11-22,202,Thanksgiving Vacation,Fall,Dinner, salmon; delmonico of seasonal vegetables; gratin, delmonico salmon; seasonal gratin of vegetables;, delmonico salmon; seasonal gratin of vegetables;,18:00:00,2015-11-22 18:00:00,2015-11-22 18:00:00,Sunday,2015,12,299.12846293433654
876,2015-11-23,150,Thanksgiving Vacation,Fall,Lunch, garlic herb steamed and chicken broccoli, chicken herb and broccoli steamed garlic, chicken herb and broccoli steamed garlic,13:00:00,2015-11-23 13:00:00,2015-11-23 13:00:00,Monday,2015,12,207.6861913168462
877,2015-11-23,0,Thanksgiving Vacation,Fall,Dinner, tortilla; corn fajita filling; chicken with, tortilla; corn fajita filling; chicken with, tortilla; filling; fajita corn chicken black,18:00:00,2015-11-23 18:00:00,2015-11-23 18:00:00,Monday,2015,12,375.53011933344624
878,2015-11-25,127,Thanksgiving Vacation,Fall,Lunch, free cage egg; scrambled hard boiled bacon;, wrap; chicken and cod cape kettle, wrap; chicken and chips cod cape kettle,13:00:00,2015-11-25 13:00:00,2015-11-25 13:00:00,Wednesday,2015,12,313.2810949043388
879,2015-11-25,144,Thanksgiving Vacation,Fall,Dinner, general tso's sticky chicken; szechuan green, green chicken; szechuan general tso's sticky, rice; green vegetable roll; duck sauce,18:00:00,2015-11-25 18:00:00,2015-11-25 18:00:00,Wednesday,2015,12,260.50707330405794
880,2015-11-26,141,Thanksgiving Vacation,Fall,Lunch, of gravy; mashed roast breast roasted, of mashed roast gravy; breast roasted, roasted of new butter; potatoes roast,13:00:00,2015-11-26 13:00:00,2015-11-26 13:00:00,Thursday,2015,13,133.33333333333468
881,2015-11-27,132,Thanksgiving Vacation,Fall,Lunch, wrap; chicken and cape cod kettle, wrap; chicken and cod cape kettle, wrap; chicken and chips cod cape kettle,13:00:00,2015-11-27 13:00:00,2015-11-27 13:00:00,Friday,2015,13,191.72626098538723
882,2015-11-27,145,Thanksgiving Vacation,Fall,Dinner, creole choux blackened chicken; jambalaya; corn maque catfish;, blackened catfish; creole chicken; jambalaya; maque corn choux, blackened catfish; creole chicken; jambalaya; maque corn choux,18:00:00,2015-11-27 18:00:00,2015-11-27 18:00:00,Friday,2015,13,69.1444446336277
883,2015-11-28,232,Thanksgiving Vacation,Fall,Lunch, parmesan eggplant chicken hoagie; parmesan; kettle cod cape, parmesan; eggplant chicken parmesan cod kettle cape, parmesan; eggplant chicken parmesan cod kettle cape,13:00:00,2015-11-28 13:00:00,2015-11-28 13:00:00,Saturday,2015,13,250.42054311429638
