"","date","count","event","semester","type","tag75","tag69","tag66","substitute_time","datetime","posix","weekday","year","semester_week"
"325",2015-01-25,382,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-25 8:00:00",2015-01-25 08:00:00,"Sunday",2015,1
"326",2015-01-25,985,"No Event","Spring","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2015-01-25 13:00:00",2015-01-25 13:00:00,"Sunday",2015,1
"327",2015-01-25,1131,"No Event","Spring","Dinner"," new roasted in butter; potatoes parsley beets;"," new roasted in parsley butter; beets; potatoes"," roasted of new butter; potatoes roast","18:00:00","2015-01-25 18:00:00",2015-01-25 18:00:00,"Sunday",2015,1
"328",2015-01-26,1146,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-26 8:00:00",2015-01-26 08:00:00,"Monday",2015,1
"329",2015-01-26,1038,"No Event","Spring","Lunch"," gyro; olives; cheese; feta tzatziki kalamata lettuce; iceberg pita bread;"," gyro; iceberg olives; feta tzatziki cheese; lettuce; bread; kalamata pita"," gyro; iceberg olives; feta tzatziki cheese; lettuce; bread; kalamata pita","13:00:00","2015-01-26 13:00:00",2015-01-26 13:00:00,"Monday",2015,1
"330",2015-01-26,1504,"No Event","Spring","Dinner"," bbq chicken; pork corn spare smoky ribs; mountain"," bbq pork chicken; spare corn and"," bbq pork chicken; spare corn and","18:00:00","2015-01-26 18:00:00",2015-01-26 18:00:00,"Monday",2015,1
"331",2015-01-27,260,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-27 8:00:00",2015-01-27 08:00:00,"Tuesday",2015,1
"332",2015-01-27,882,"No Event","Spring","Lunch"," xxx arugula hummus, and with chicken moz grilled arugula, fontina; & fresh"," xxx moz with fontina; hummus, arugula, chicken grilled fresh arugula and &"," xxx moz with fontina; hummus, arugula, chicken grilled fresh arugula and &","13:00:00","2015-01-27 13:00:00",2015-01-27 13:00:00,"Tuesday",2015,1
"333",2015-01-27,1245,"No Event","Spring","Dinner"," rice; chicken vegetable curry; spring duck and green roll; jasmine vegetables; scallion emerald"," rice; emerald vegetables; scallion roll; and vegetable curry; jasmine duck spring green chicken"," rice; green vegetable roll; duck sauce","18:00:00","2015-01-27 18:00:00",2015-01-27 18:00:00,"Tuesday",2015,1
"334",2015-01-28,1074,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-28 8:00:00",2015-01-28 08:00:00,"Wednesday",2015,1
"335",2015-01-28,964,"No Event","Spring","Lunch"," torta; chicken mole cuban corn blue tortilla"," torta; chicken mole cuban corn tortilla blue"," torta; chicken mole cuban corn tortilla blue","13:00:00","2015-01-28 13:00:00",2015-01-28 13:00:00,"Wednesday",2015,1
"336",2015-01-28,1441,"No Event","Spring","Dinner"," lasagna zucchini red al and with eggplant"," lasagna al zucchini and chicken forno; marsala;"," lasagna al zucchini and chicken forno;","18:00:00","2015-01-28 18:00:00",2015-01-28 18:00:00,"Wednesday",2015,1
"337",2015-01-29,940,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-29 8:00:00",2015-01-29 08:00:00,"Thursday",2015,2
"338",2015-01-29,1022,"No Event","Spring","Lunch"," wrap - xxx val buffalo burger chicken"," - wrap xxx burger val buffalo chicken"," - wrap xxx burger val buffalo chicken","13:00:00","2015-01-29 13:00:00",2015-01-29 13:00:00,"Thursday",2015,2
"339",2015-01-29,1245,"No Event","Spring","Dinner"," honey of potatoes; steamed roasted lamb apples; lavender with leg chicken; and roast cider beans green mashed"," mashed potatoes; steamed roast chicken; leg cider of with beans apples; and lamb roasted green lavender honey"," mashed potatoes; steamed roast chicken; leg cider of with beans apples; and lamb roasted green lavender honey","18:00:00","2015-01-29 18:00:00",2015-01-29 18:00:00,"Thursday",2015,2
"340",2015-01-30,856,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-30 8:00:00",2015-01-30 08:00:00,"Friday",2015,2
"341",2015-01-30,877,"No Event","Spring","Lunch"," fried green catfish sweet potato hoagie; tomato tortilla sandwich;"," fried tomato sweet potato green sandwich; catfish hoagie; tortilla"," fried tomato green sandwich; hoagie; catfish tortilla sweet potato","13:00:00","2015-01-30 13:00:00",2015-01-30 13:00:00,"Friday",2015,2
"342",2015-01-30,982,"No Event","Spring","Dinner"," steamed rice bison chili; turkey carrots;"," steamed bison rice chili; turkey carrots;"," steamed rice bison turkey chili; carrots;","18:00:00","2015-01-30 18:00:00",2015-01-30 18:00:00,"Friday",2015,2
"343",2015-01-31,519,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-01-31 8:00:00",2015-01-31 08:00:00,"Saturday",2015,2
"344",2015-01-31,939,"No Event","Spring","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2015-01-31 13:00:00",2015-01-31 13:00:00,"Saturday",2015,2
"345",2015-01-31,769,"No Event","Spring","Dinner"," bar noodle"," bar noodle"," bar noodle","18:00:00","2015-01-31 18:00:00",2015-01-31 18:00:00,"Saturday",2015,2
"346",2015-02-01,407,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-01 8:00:00",2015-02-01 08:00:00,"Sunday",2015,2
"347",2015-02-01,878,"No Event","Spring","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2015-02-01 13:00:00",2015-02-01 13:00:00,"Sunday",2015,2
"348",2015-02-01,991,"No Event","Spring","Dinner"," salmon; delmonico of seasonal vegetables; gratin"," delmonico salmon; seasonal gratin of vegetables;"," delmonico salmon; seasonal gratin of vegetables;","18:00:00","2015-02-01 18:00:00",2015-02-01 18:00:00,"Sunday",2015,2
"349",2015-02-02,780,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-02 8:00:00",2015-02-02 08:00:00,"Monday",2015,2
"350",2015-02-02,1184,"No Event","Spring","Lunch"," garlic herb steamed and chicken broccoli"," chicken herb and broccoli steamed garlic"," chicken herb and broccoli steamed garlic","13:00:00","2015-02-02 13:00:00",2015-02-02 13:00:00,"Monday",2015,2
"351",2015-02-02,1399,"No Event","Spring","Dinner"," tortilla; corn fajita filling; chicken with"," tortilla; corn fajita filling; chicken with"," tortilla; filling; fajita corn chicken black","18:00:00","2015-02-02 18:00:00",2015-02-02 18:00:00,"Monday",2015,2
"352",2015-02-03,921,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-03 8:00:00",2015-02-03 08:00:00,"Tuesday",2015,2
"353",2015-02-03,833,"No Event","Spring","Lunch"," asian bbq bulgogi sandwich; rolls; sub"," asian bbq bulgogi sandwich; sub rolls;"," asian bbq bulgogi sandwich; sub rolls;","13:00:00","2015-02-03 13:00:00",2015-02-03 13:00:00,"Tuesday",2015,2
"354",2015-02-03,1379,"No Event","Spring","Dinner"," chimichurri sauce; steak; grilled flank verde valencia; potatoes; paella mediterranean rojo"," sauce; chimichurri flank verde steak; rojo grilled"," sauce; chimichurri flank verde steak; rojo grilled","18:00:00","2015-02-03 18:00:00",2015-02-03 18:00:00,"Tuesday",2015,2
"355",2015-02-04,993,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-04 8:00:00",2015-02-04 08:00:00,"Wednesday",2015,2
"356",2015-02-04,1028,"No Event","Spring","Lunch"," hot burger; hamburger beef all dog"," hot burger; hamburger french dog beef all"," hot burger; hamburger french dog beef all","13:00:00","2015-02-04 13:00:00",2015-02-04 13:00:00,"Wednesday",2015,2
"357",2015-02-04,1306,"No Event","Spring","Dinner"," general tso's sticky chicken; szechuan green"," green chicken; szechuan general tso's sticky"," rice; green vegetable roll; duck sauce","18:00:00","2015-02-04 18:00:00",2015-02-04 18:00:00,"Wednesday",2015,2
"358",2015-02-05,874,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-05 8:00:00",2015-02-05 08:00:00,"Thursday",2015,3
"359",2015-02-05,901,"No Event","Spring","Lunch"," southwestern cole sweet water potato roll; chicken;"," pulled chicken; sweet potato pork; roll; water"," pulled potato sweet chicken; water roll;","13:00:00","2015-02-05 13:00:00",2015-02-05 13:00:00,"Thursday",2015,3
"360",2015-02-05,1267,"No Event","Spring","Dinner"," cous harissa green carrot honey chicken; roasted bean and"," cous roasted harissa chicken; and honey"," cous roasted harissa chicken; and honey","18:00:00","2015-02-05 18:00:00",2015-02-05 18:00:00,"Thursday",2015,3
"361",2015-02-06,833,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-06 8:00:00",2015-02-06 08:00:00,"Friday",2015,3
"362",2015-02-06,896,"No Event","Spring","Lunch"," wrap; chicken and cape cod kettle"," wrap; chicken and cod cape kettle"," wrap; chicken and chips cod cape kettle","13:00:00","2015-02-06 13:00:00",2015-02-06 13:00:00,"Friday",2015,3
"363",2015-02-06,948,"No Event","Spring","Dinner"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","18:00:00","2015-02-06 18:00:00",2015-02-06 18:00:00,"Friday",2015,3
"364",2015-02-07,423,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-07 8:00:00",2015-02-07 08:00:00,"Saturday",2015,3
"365",2015-02-07,891,"No Event","Spring","Lunch"," parmesan eggplant chicken hoagie; parmesan; kettle cod cape"," parmesan; eggplant chicken parmesan cod kettle cape"," parmesan; eggplant chicken parmesan cod kettle cape","13:00:00","2015-02-07 13:00:00",2015-02-07 13:00:00,"Saturday",2015,3
"366",2015-02-07,993,"No Event","Spring","Dinner"," cheese quesadilla; chicken taco filling; refried beef vegetarian black beans; tostitos; olives; cream; & lettuce; sour iceberg guacamole;"," cheese quesadilla; chicken taco filling; iceberg lettuce; tostitos; sour black cream; corn beef"," cheese quesadilla; chicken taco filling; iceberg lettuce; tostitos; sour black cream; corn beef","18:00:00","2015-02-07 18:00:00",2015-02-07 18:00:00,"Saturday",2015,3
"367",2015-02-08,277,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-08 8:00:00",2015-02-08 08:00:00,"Sunday",2015,3
"368",2015-02-08,943,"No Event","Spring","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2015-02-08 13:00:00",2015-02-08 13:00:00,"Sunday",2015,3
"369",2015-02-08,1139,"No Event","Spring","Dinner"," of gravy; mashed roast breast roasted"," of mashed roast gravy; breast roasted"," roasted of new butter; potatoes roast","18:00:00","2015-02-08 18:00:00",2015-02-08 18:00:00,"Sunday",2015,3
"370",2015-02-09,904,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-09 8:00:00",2015-02-09 08:00:00,"Monday",2015,3
"371",2015-02-09,956,"No Event","Spring","Lunch"," tortilla potato turkey sweet citrus aioli; arugula;"," turkey arugula; aioli; citrus burger; potato sweet roll;"," turkey arugula; aioli; citrus burger; potato sweet roll;","13:00:00","2015-02-09 13:00:00",2015-02-09 13:00:00,"Monday",2015,3
"372",2015-02-09,1453,"No Event","Spring","Dinner"," roasted sugar steamed snap rosemary chicken"," roasted rosemary flat steamed snap steak; iron sugar"," roasted steamed with broccoli rosemary red mashed","18:00:00","2015-02-09 18:00:00",2015-02-09 18:00:00,"Monday",2015,3
"373",2015-02-10,922,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-10 8:00:00",2015-02-10 08:00:00,"Tuesday",2015,3
"374",2015-02-10,845,"No Event","Spring","Lunch"," shrimp quarter"" dip; po boy ""french"," shrimp dip; quarter"" boy ""french po"," shrimp dip; quarter"" boy ""french po","13:00:00","2015-02-10 13:00:00",2015-02-10 13:00:00,"Tuesday",2015,3
"375",2015-02-10,1396,"No Event","Spring","Dinner"," rice; crab rangoons; jasmine duck stir beef broccoli fry; with"," rice; rangoons; crab duck jasmine broccoli beef stir with fry;"," rice; rangoons; crab duck jasmine broccoli beef stir with fry;","18:00:00","2015-02-10 18:00:00",2015-02-10 18:00:00,"Tuesday",2015,3
"376",2015-02-11,980,"No Event","Spring","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2015-02-11 8:00:00",2015-02-11 08:00:00,"Wednesday",2015,3
"377",2015-02-11,809,"No Event","Spring","Lunch"," cheese pierogi & potato and apples w/"," cheese potato w/ apples pierogi &"," cheese & potato pierogi apples w/","13:00:00","2015-02-11 13:00:00",2015-02-11 13:00:00,"Wednesday",2015,3
